Code,Airport
BJV,Milas Bodrum International Airport
BJW,Bajawa Soa Airport
BJX,Del Baj??o International Airport
BJY,Batajnica Air Base
BJZ,Badajoz Airport
BKA,Bykovo Airport
BKB,Nal Airport
BKC,Buckland Airport
BKD,Stephens County Airport
BKE,Baker City Municipal Airport
BKF,Lake Brooks Seaplane Base
BKG,Branson Airport
BKH,Barking Sands Airport
BKI,Kota Kinabalu International Airport
BKJ,Bok?? Baralande Airport
BKK,Suvarnabhumi Airport
BKL,Burke Lakefront Airport
BKM,Bakalalan Airport
BKN,Balkanabat Airport
BKO,Modibo Keita International Airport
BKP,Barkly Downs Airport
BKQ,Blackall Airport
BKR,Bokoro Airport
BKS,Fatmawati Soekarno Airport
BKT,Allen C Perkinson Blackstone Army Air Field
BKU,Betioky Airport
BKW,Raleigh County Memorial Airport
BKX,Brookings Regional Airport
BKY,Bukavu Kavumu Airport
BKZ,Bukoba Airport
BLA,General Jos?? Antonio Anzoategui International Airport
BLB,Panama Pacific International Airport
BLC,Bali Airport
BLD,Boulder City Municipal Airport
BLE,Borlange Airport
BLF,Mercer County Airport
BLG,Belaga Airport
BLH,Blythe Airport
BLI,Bellingham International Airport
BLJ,Batna Airport
BLK,Blackpool International Airport
BLL,Billund Airport
BLM,Monmouth Executive Airport
BLN,Benalla Airport
BLO,Hjaltabakki Airport
BLP,Huallaga Airport
BLQ,Bologna Guglielmo Marconi Airport
BLR,Kempegowda International Airport
BLS,Bollon Airport
BLT,Blackwater Airport
BLU,Blue Canyon Nyack Airport
BLV,Scott AFB/Midamerica Airport
BLW,Beletwene Airport
BLX,Belluno Airport
BLY,Belmullet Aerodrome
BLZ,Chileka International Airport
BMA,Stockholm-Bromma Airport
BMB,Bumbar Airport
BMC,Brigham City Regional Airport
BMD,Belo sur Tsiribihina Airport
BME,Broome International Airport
BMF,Bakouma Airport
BMG,Monroe County Airport
BMH,Bomai Airport
BMI,Central Illinois Regional Airport at Bloomington-Normal
BMJ,Baramita Airport
BMK,Borkum Airport
BML,Berlin Regional Airport
BMM,Bitam Airport
BMN,Bamarni Airport
BMO,Banmaw Airport
BMP,Brampton Island Airport
BMQ,Bamburi Airport
BMR,Baltrum Airport
BMS,S??crates Mariani Bittencourt Airport
BMT,Beaumont Municipal Airport
BMU,Muhammad Salahuddin Airport
BMV,Buon Ma Thuot Airport
BMW,Bordj Badji Mokhtar Airport
BMX,Big Mountain Airport
BMY,??le Art - Waala Airport
BMZ,Bamu Airport
BNA,Nashville International Airport
BNB,Boende Airport
BNC,Beni Airport
BND,Bandar Abbas International Airport
BNE,Brisbane International Airport
